ciudad,codigo_iata,ciudad_original
NYC--Kennedy,NYC,NYC--Kennedy
New York JFK,JFK,New York JFK
Nice (NCE),NCE,Nice (NCE)
Roma (FCO),FCO,Roma (FCO)
NYC-Kennedy,NYC,NYC-Kennedy
Frankfurt (FRA),FRA,Frankfurt (FRA)
London Heathrow (LHR),LHR,London Heathrow (LHR)
Dublin (DUB),DUB,Dublin (DUB)
Brussels (BRU),BRU,Brussels (BRU)
London Heathrow LHR,LHR,London Heathrow LHR
San Juan - Miami - Madrid,,San Juan - Miami - Madrid
Boston Logan (BOS),BOS,Boston Logan (BOS)
Paris - Orly,,Paris - Orly
London Stansted,,London Stansted
Lisboa,,Lisboa
AMSTERDAM,AMS,"AMSTERDAM, NETHERLANDS"
Edinburgh (EDI),EDI,Edinburgh (EDI)
London Stansted (STN),STN,London Stansted (STN)
Málaga - Pablo Picasso,,Málaga - Pablo Picasso
Istanbul (IST),IST,Istanbul (IST)
Woodstock,,"Woodstock, Georgia"
Miami (MIA),MIA,Miami (MIA)
EWR Newark,EWR,"EWR Newark, NJ"
Lisbon,,Lisbon
New York / Newark,EWR,"New York / Newark, NJ (EWR)"
Frankfurt Airport T2,,Frankfurt Airport T2
We are travelling from Miami to Madrid.,,We are travelling from Miami to Madrid.
Toronto/Frankfurt,,Toronto/Frankfurt
Dallas Fort Worth (DFW),DFW,Dallas Fort Worth (DFW)
Manchester (MAN),MAN,Manchester (MAN)
Dallas DFW,DFW,Dallas DFW
Newark - Madrid,,Newark - Madrid
Toronto-Lisbon-Madrid,,Toronto-Lisbon-Madrid
Lisbon (LIS),LIS,Lisbon (LIS)
Toronto - Frankfurt,,Toronto - Frankfurt
Dublin,,Dublin
